Item,Description,Qty,Price (USD),Link,
Metal eye pin hook,4x8 mm,1 Pack,2.5,amazon.in,
Metal eye pin hook,5x10 mm,1 Pack,2,amazon.in,
Metal eye pin hook,8x20 mm,1 Pack,1.5,amazon.in,
Neodymium magnet,4x2 mm,1 Pack,5,amazon.in,
Neodymium magnet,5x2 mm,1 Pack,3,amazon.in,
Sand paper,Grit 150-600,1,3,amazon.in,
Fibre sheet cutter,,1,2,amazon.in,
Round elastic string,2 mm,1 Pack,3,amazon.in,
Epoxy,150 gm,1,2,amazon.in,
Super glue,low viscosity,1,2,amazon.in,
Extension cord,USB + AC,1,7,amazon.in,
Spray paint,Black/White,2,7,amazon.in,
Rubber pad,Anti skid support,1 Pack,2,amazon.in,
Cord end cap,5x7.5 mm,1 Pack,2,amazon.in,
Metal binder clips,25 mm,2 Pack,2.5,amazon.in,
Nylon strap,25 mm,2,2,amazon.in,
Diffusion fabric,Nylon - silk,1,15,amazon.in,
Mylar sheet,,4,4,amazon.in,
Clip holder,,4,8,amazon.in,
Lobster claw clasp ,1x3.2 cm,1 Pack,4,amazon.in,
Wire spring with hook,3 mm,1,2,amazon.in,
12 in light,1k lumen,4,93,amazon.in,
Print,PLA,,115,robu.in,
Shipping and handling,,,6.5 (approx),Multiple,
